pol_num,status,issue_date,inc_guar,qual,age,product,gender,wd_age,term_date
46,Active,2016-10-11,FALSE,TRUE,66,c,M,72,NA
47,Surrender,2015-12-29,FALSE,TRUE,53,c,M,60,2018-10-17
48,Surrender,2012-05-26,FALSE,FALSE,80,b,F,80,2018-11-19
49,Active,2015-08-19,FALSE,FALSE,54,c,F,80,NA
50,Active,2006-12-31,TRUE,TRUE,56,b,M,66,NA
51,Active,2018-01-23,FALSE,FALSE,61,c,F,65,NA
52,Active,2012-05-01,FALSE,FALSE,56,c,M,57,NA
53,Surrender,2007-08-02,FALSE,FALSE,70,a,F,70,2020-06-27
54,Active,2017-05-05,FALSE,TRUE,43,a,M,70,NA
55,Active,2010-05-03,FALSE,TRUE,64,b,F,64,NA
56,Active,2015-12-12,FALSE,FALSE,62,c,M,70,NA
57,Active,2017-11-30,TRUE,FALSE,41,c,F,65,NA
58,Surrender,2007-02-21,FALSE,FALSE,73,b,M,73,2014-11-05
59,Surrender,2005-08-09,FALSE,FALSE,69,b,F,69,2015-03-05
60,Active,2013-01-31,TRUE,TRUE,46,c,M,55,NA
61,Active,2009-12-01,FALSE,FALSE,67,c,F,78,NA
62,Active,2017-06-27,FALSE,TRUE,62,b,F,69,NA
63,Death,2013-09-02,TRUE,TRUE,73,c,M,73,2016-03-15
64,Active,2014-08-30,TRUE,TRUE,65,c,M,78,NA
65,Surrender,2006-03-01,FALSE,FALSE,55,c,F,76,2018-02-19
66,Active,2012-12-03,TRUE,FALSE,62,c,F,65,NA
67,Active,2006-06-18,TRUE,FALSE,55,a,M,67,NA
68,Surrender,2006-07-31,FALSE,FALSE,43,a,F,77,2018-01-12
69,Active,2007-02-14,TRUE,FALSE,80,b,F,80,NA
70,Active,2012-02-14,TRUE,TRUE,58,c,F,63,NA
71,Active,2007-11-20,TRUE,TRUE,61,a,F,75,NA
72,Surrender,2009-02-26,TRUE,FALSE,69,a,F,75,2016-12-09
73,Active,2008-05-02,TRUE,TRUE,63,a,F,77,NA
74,Active,2018-12-10,FALSE,TRUE,54,a,M,56,NA
75,Active,2011-04-12,FALSE,FALSE,68,a,F,68,NA
76,Active,2015-02-11,TRUE,FALSE,54,c,F,68,NA
77,Active,2013-09-30,FALSE,TRUE,68,c,F,68,NA
78,Surrender,2009-06-04,FALSE,TRUE,61,a,F,61,2014-01-22
79,Death,2013-07-14,FALSE,TRUE,77,b,F,77,2016-12-22
80,Active,2017-12-07,TRUE,FALSE,52,c,F,72,NA
81,Active,2015-01-08,FALSE,TRUE,66,a,M,66,NA
82,Active,2008-12-05,FALSE,TRUE,55,a,F,74,NA
83,Active,2012-03-03,TRUE,TRUE,65,b,M,65,NA
84,Death,2007-12-02,FALSE,TRUE,71,c,M,71,2014-09-14
85,Active,2017-10-06,TRUE,TRUE,68,b,M,70,NA
86,Active,2012-12-18,TRUE,TRUE,63,a,F,63,NA
87,Active,2019-10-29,TRUE,TRUE,77,b,F,77,NA
88,Active,2005-09-06,TRUE,TRUE,54,c,M,68,NA
89,Surrender,2005-12-30,FALSE,FALSE,54,b,F,54,2016-09-08
90,Active,2016-06-01,FALSE,TRUE,69,c,F,69,NA
91,Active,2017-08-01,FALSE,FALSE,68,c,M,68,NA
92,Surrender,2009-04-30,FALSE,FALSE,75,c,F,75,2016-09-15
93,Active,2013-01-11,FALSE,TRUE,58,c,M,69,NA
94,Surrender,2009-04-15,FALSE,FALSE,42,c,F,78,2016-02-19
95,Active,2014-07-01,TRUE,TRUE,68,b,M,75,NA
96,Active,2016-06-19,TRUE,TRUE,80,b,M,80,NA
97,Active,2007-12-14,TRUE,FALSE,49,c,F,62,NA
98,Active,2017-02-23,TRUE,FALSE,57,b,M,68,NA
99,Death,2011-03-26,TRUE,TRUE,71,a,F,71,2019-05-26
100,Surrender,2011-05-12,FALSE,FALSE,63,b,M,65,2013-12-03
101,Active,2010-10-05,TRUE,TRUE,78,c,M,78,NA
102,Active,2014-12-05,TRUE,TRUE,70,c,M,70,NA
103,Active,2011-10-21,FALSE,FALSE,77,c,F,77,NA
104,Active,2019-06-02,TRUE,TRUE,60,c,F,65,NA
105,Active,2011-04-20,TRUE,FALSE,67,a,F,67,NA
106,Active,2005-07-19,FALSE,TRUE,54,c,M,68,NA
107,Surrender,2005-05-08,FALSE,TRUE,79,c,F,79,2016-11-19
108,Active,2009-05-27,FALSE,FALSE,53,b,M,77,NA
109,Active,2012-04-08,FALSE,TRUE,46,b,M,73,NA
110,Active,2016-01-11,TRUE,TRUE,77,a,M,77,NA
111,Active,2019-06-08,TRUE,FALSE,55,c,M,71,NA
112,Active,2014-03-29,TRUE,FALSE,49,b,M,66,NA
113,Active,2018-09-29,TRUE,FALSE,73,c,M,80,NA
114,Active,2019-07-14,TRUE,TRUE,60,a,F,77,NA
115,Active,2008-07-12,TRUE,FALSE,62,b,F,62,NA
116,Surrender,2016-10-20,TRUE,TRUE,77,c,F,77,2016-11-07
117,Surrender,2010-03-17,FALSE,TRUE,64,b,F,78,2018-01-10
118,Active,2019-03-20,TRUE,TRUE,64,b,F,64,NA
119,Death,2010-06-08,TRUE,FALSE,75,c,M,75,2018-06-27
120,Active,2012-11-24,TRUE,TRUE,77,c,M,77,NA
121,Death,2009-08-08,TRUE,TRUE,50,c,M,54,2015-11-11
122,Active,2014-10-06,TRUE,FALSE,59,c,M,76,NA
123,Surrender,2014-04-26,TRUE,FALSE,44,b,M,79,2016-06-18
124,Surrender,2015-10-22,TRUE,TRUE,63,c,M,75,2017-01-06
125,Active,2013-07-05,TRUE,FALSE,60,c,F,70,NA
126,Active,2019-08-14,TRUE,TRUE,64,b,F,64,NA
127,Active,2016-10-19,TRUE,FALSE,67,a,F,73,NA
128,Active,2017-01-04,TRUE,FALSE,63,c,M,68,NA
129,Death,2016-09-15,FALSE,FALSE,71,b,M,77,2018-08-16
130,Surrender,2008-07-08,TRUE,TRUE,54,a,M,71,2013-08-22
131,Active,2009-01-24,FALSE,FALSE,67,a,M,67,NA
132,Surrender,2005-05-24,TRUE,FALSE,51,b,M,72,2017-11-26
133,Active,2008-08-02,TRUE,TRUE,76,c,F,76,NA
134,Surrender,2007-08-29,FALSE,TRUE,65,a,F,80,2015-12-01
135,Active,2011-09-09,TRUE,FALSE,55,c,F,64,NA
136,Surrender,2009-08-20,FALSE,TRUE,65,c,F,65,2016-05-05
137,Surrender,2006-03-02,TRUE,FALSE,69,b,M,69,2016-01-21
138,Surrender,2007-03-29,TRUE,FALSE,58,a,F,58,2011-04-14
139,Active,2019-05-24,FALSE,TRUE,63,a,F,75,NA
140,Active,2012-08-31,TRUE,TRUE,70,b,F,70,NA
141,Active,2014-02-08,FALSE,TRUE,55,a,M,66,NA
142,Active,2012-03-29,TRUE,TRUE,63,a,M,63,NA
143,Active,2018-07-16,FALSE,TRUE,53,b,M,65,NA
144,Active,2016-06-19,FALSE,TRUE,77,c,M,77,NA
145,Surrender,2006-04-21,FALSE,TRUE,70,b,M,70,2014-03-16
146,Death,2015-08-02,FALSE,TRUE,72,c,M,72,2016-03-05
147,Active,2015-04-30,FALSE,FALSE,64,b,M,70,NA
148,Surrender,2017-09-13,TRUE,TRUE,60,c,F,61,2017-12-05
149,Active,2015-10-21,TRUE,TRUE,73,c,M,73,NA
150,Surrender,2008-07-13,FALSE,FALSE,71,c,M,71,2019-01-05
151,Active,2006-01-28,FALSE,TRUE,68,c,F,68,NA
152,Active,2011-11-12,FALSE,TRUE,80,c,M,80,NA
153,Active,2013-09-25,TRUE,FALSE,70,a,M,77,NA
154,Active,2015-06-22,FALSE,FALSE,72,a,F,72,NA
155,Active,2017-11-29,TRUE,TRUE,69,c,F,73,NA
156,Active,2013-06-30,TRUE,FALSE,63,c,M,63,NA
157,Active,2010-01-22,TRUE,FALSE,79,a,F,79,NA
158,Active,2015-06-25,FALSE,TRUE,45,a,M,80,NA
159,Active,2012-07-03,FALSE,TRUE,76,a,M,76,NA
160,Active,2015-11-18,FALSE,TRUE,56,c,M,61,NA
161,Active,2011-09-20,FALSE,TRUE,74,c,M,74,NA
162,Active,2013-06-05,TRUE,TRUE,77,c,M,77,NA
163,Active,2009-08-29,FALSE,FALSE,71,b,M,71,NA
164,Active,2013-03-20,TRUE,TRUE,66,c,M,70,NA
165,Active,2013-12-31,TRUE,FALSE,64,b,M,65,NA
166,Active,2010-08-02,TRUE,FALSE,65,c,F,72,NA
167,Active,2007-06-22,TRUE,FALSE,68,c,F,76,NA
168,Active,2015-08-19,FALSE,FALSE,56,c,F,75,NA
169,Active,2012-08-18,TRUE,TRUE,72,c,M,72,NA
170,Active,2015-06-24,TRUE,TRUE,44,b,M,59,NA
171,Surrender,2009-01-07,FALSE,FALSE,50,b,M,55,2009-04-24
172,Active,2016-12-02,TRUE,TRUE,52,b,F,65,NA
173,Death,2006-02-18,FALSE,TRUE,69,c,F,80,2013-08-14
174,Death,2007-12-02,TRUE,TRUE,70,c,M,70,2012-04-22
175,Active,2008-07-09,TRUE,TRUE,48,b,M,64,NA
176,Surrender,2009-02-23,FALSE,TRUE,66,c,M,77,2016-06-18
177,Active,2013-05-03,TRUE,FALSE,75,c,F,75,NA
178,Death,2011-12-12,TRUE,FALSE,75,c,M,75,2016-07-31
179,Surrender,2005-08-24,FALSE,TRUE,71,c,F,71,2016-03-07
180,Death,2010-09-13,TRUE,FALSE,70,c,M,70,2015-12-23
181,Surrender,2006-06-23,FALSE,FALSE,46,c,F,64,2017-03-31
182,Active,2014-12-01,TRUE,FALSE,64,b,F,64,NA
183,Active,2008-02-27,TRUE,TRUE,62,c,M,62,NA
184,Active,2015-07-26,FALSE,TRUE,57,b,M,68,NA
185,Active,2010-04-23,TRUE,FALSE,65,c,F,67,NA
186,Active,2011-02-24,TRUE,FALSE,52,b,F,69,NA
187,Active,2015-08-03,TRUE,FALSE,61,c,M,65,NA
188,Active,2010-12-29,FALSE,FALSE,69,a,F,69,NA
189,Active,2005-04-03,TRUE,TRUE,65,b,F,65,NA
190,Surrender,2005-01-21,FALSE,TRUE,54,b,F,65,2016-11-16
191,Active,2014-11-25,TRUE,FALSE,44,a,F,74,NA
192,Active,2014-05-19,TRUE,FALSE,64,a,M,64,NA
193,Active,2019-08-05,TRUE,TRUE,71,b,F,71,NA
194,Surrender,2009-03-07,TRUE,FALSE,63,b,M,66,2011-07-12
195,Active,2019-04-22,TRUE,TRUE,64,c,F,75,NA
196,Active,2012-08-16,TRUE,TRUE,53,c,F,60,NA
197,Active,2012-06-27,TRUE,TRUE,59,c,F,60,NA
198,Death,2009-11-03,TRUE,FALSE,70,a,M,70,2017-01-03
199,Active,2016-04-10,FALSE,TRUE,57,a,F,75,NA
200,Active,2010-03-25,FALSE,FALSE,61,b,M,67,NA
201,Active,2015-11-15,FALSE,FALSE,80,c,F,80,NA
202,Active,2019-03-27,FALSE,TRUE,52,b,F,77,NA
203,Active,2009-06-20,FALSE,TRUE,63,b,M,66,NA
204,Active,2011-11-20,FALSE,FALSE,60,b,M,61,NA
205,Active,2012-09-01,TRUE,FALSE,55,c,F,66,NA
206,Surrender,2005-07-18,FALSE,FALSE,70,c,M,79,2015-11-19
207,Active,2013-02-17,TRUE,TRUE,67,c,M,67,NA
208,Active,2014-08-23,TRUE,TRUE,68,a,F,68,NA
209,Surrender,2016-06-29,FALSE,TRUE,68,c,M,78,2017-05-31
210,Active,2016-07-25,FALSE,TRUE,71,c,F,79,NA
211,Active,2011-12-12,FALSE,TRUE,80,b,F,80,NA
212,Active,2015-02-16,FALSE,TRUE,55,b,M,65,NA
213,Active,2015-09-22,TRUE,TRUE,72,a,F,72,NA
214,Surrender,2008-10-17,FALSE,FALSE,62,a,F,62,2019-06-01
215,Active,2018-11-18,FALSE,FALSE,65,a,F,65,NA
216,Surrender,2008-02-20,FALSE,FALSE,78,b,F,78,2016-04-28
217,Active,2013-09-06,TRUE,TRUE,68,a,F,72,NA
218,Active,2012-09-15,TRUE,TRUE,59,c,F,67,NA
219,Surrender,2006-01-02,FALSE,TRUE,73,c,M,73,2015-02-15
220,Death,2005-02-06,TRUE,TRUE,68,b,M,79,2018-03-27
221,Active,2014-10-23,TRUE,TRUE,73,c,M,73,NA
222,Active,2019-12-29,TRUE,FALSE,48,c,M,63,NA
223,Active,2008-04-26,FALSE,FALSE,64,b,M,64,NA
224,Active,2008-11-18,TRUE,FALSE,57,a,F,75,NA
225,Active,2018-04-30,TRUE,FALSE,80,c,F,80,NA
226,Active,2013-12-23,TRUE,TRUE,55,b,F,63,NA
227,Active,2011-01-24,TRUE,FALSE,68,c,F,68,NA
228,Active,2010-09-27,TRUE,TRUE,71,a,M,71,NA
229,Active,2008-08-29,TRUE,TRUE,53,a,F,75,NA
230,Surrender,2005-09-20,FALSE,FALSE,77,a,M,77,2018-07-21
231,Active,2009-08-12,TRUE,TRUE,72,b,M,72,NA
232,Active,2012-11-06,TRUE,FALSE,52,a,M,73,NA
233,Surrender,2010-06-15,TRUE,TRUE,64,a,M,72,2017-10-28
234,Active,2018-11-27,TRUE,TRUE,61,b,F,75,NA
235,Active,2015-08-09,FALSE,FALSE,75,c,F,75,NA
236,Active,2013-06-15,FALSE,TRUE,43,b,F,80,NA
237,Active,2016-01-25,FALSE,FALSE,58,c,M,79,NA
238,Surrender,2006-09-28,TRUE,TRUE,78,b,F,78,2017-02-10
239,Active,2016-03-12,TRUE,TRUE,64,c,M,79,NA
240,Active,2006-10-28,FALSE,TRUE,57,c,M,70,NA
241,Active,2010-02-21,FALSE,TRUE,73,c,M,73,NA
242,Active,2009-09-15,TRUE,TRUE,71,c,M,80,NA
243,Active,2016-11-05,TRUE,TRUE,64,b,M,64,NA
244,Death,2009-09-09,FALSE,FALSE,64,b,M,70,2014-06-18
245,Surrender,2014-12-24,TRUE,TRUE,58,a,F,78,2018-10-16
246,Surrender,2008-01-02,FALSE,FALSE,70,c,F,79,2016-02-11
247,Active,2013-10-19,TRUE,TRUE,49,c,F,72,NA
248,Active,2019-11-02,TRUE,TRUE,77,c,F,77,NA
249,Death,2019-03-28,TRUE,TRUE,77,c,F,77,2019-08-23
250,Surrender,2008-07-20,TRUE,FALSE,60,c,F,78,2018-07-22
251,Active,2015-04-01,TRUE,TRUE,57,a,M,57,NA
252,Active,2015-08-18,TRUE,TRUE,56,c,M,62,NA
253,Active,2010-06-18,TRUE,TRUE,66,a,F,66,NA
254,Active,2014-12-24,TRUE,TRUE,74,c,M,74,NA
255,Death,2011-06-25,FALSE,TRUE,61,c,M,69,2018-10-10
256,Active,2007-05-22,TRUE,TRUE,62,c,M,65,NA
257,Active,2016-05-25,FALSE,FALSE,65,c,M,65,NA
258,Active,2012-06-11,FALSE,TRUE,73,a,F,73,NA
259,Surrender,2011-10-04,TRUE,TRUE,64,b,F,78,2019-01-16
260,Surrender,2005-04-14,FALSE,FALSE,74,c,M,74,2015-06-10
261,Active,2005-04-14,TRUE,TRUE,72,a,F,72,NA
262,Active,2005-05-12,TRUE,TRUE,55,c,M,73,NA
263,Active,2008-02-02,TRUE,FALSE,67,a,M,67,NA
264,Active,2019-05-11,TRUE,TRUE,69,c,M,76,NA
265,Surrender,2011-08-05,FALSE,TRUE,52,a,F,57,2019-06-09
266,Death,2010-12-18,TRUE,TRUE,76,a,M,76,2016-08-09
267,Active,2013-08-02,TRUE,TRUE,62,c,F,71,NA
268,Active,2013-12-03,TRUE,TRUE,71,b,F,71,NA
269,Active,2018-02-10,FALSE,FALSE,65,c,F,65,NA
270,Active,2011-03-09,FALSE,FALSE,52,b,M,70,NA
271,Surrender,2005-12-27,FALSE,FALSE,67,b,M,68,2016-08-12
272,Active,2018-07-01,FALSE,TRUE,61,b,M,77,NA
273,Active,2017-10-27,FALSE,TRUE,66,b,M,69,NA
274,Active,2016-08-05,FALSE,TRUE,66,b,F,66,NA
275,Surrender,2007-09-24,TRUE,TRUE,62,c,M,79,2017-05-03
276,Surrender,2007-06-23,FALSE,TRUE,54,b,M,67,2018-05-19
277,Active,2019-01-07,FALSE,TRUE,80,a,F,80,NA
278,Active,2012-04-01,TRUE,TRUE,48,b,F,61,NA
279,Active,2017-12-28,TRUE,TRUE,56,c,M,64,NA
280,Active,2009-02-05,TRUE,TRUE,57,c,M,60,NA
281,Active,2007-11-17,TRUE,TRUE,69,a,F,71,NA
282,Active,2016-02-26,FALSE,TRUE,63,a,F,63,NA
283,Active,2013-11-13,TRUE,FALSE,72,b,F,75,NA
284,Active,2015-05-01,TRUE,TRUE,71,b,M,71,NA
285,Active,2018-01-02,FALSE,FALSE,79,c,F,79,NA
286,Active,2013-09-18,TRUE,TRUE,66,c,F,66,NA
287,Active,2018-10-28,FALSE,TRUE,58,a,M,58,NA
288,Active,2015-12-29,TRUE,TRUE,65,b,M,67,NA
289,Active,2018-11-21,FALSE,FALSE,63,c,F,63,NA
290,Active,2008-12-25,TRUE,FALSE,47,b,M,66,NA
291,Active,2014-06-03,TRUE,FALSE,57,b,F,57,NA
292,Active,2017-02-04,TRUE,TRUE,79,c,F,79,NA
293,Active,2017-10-01,TRUE,FALSE,69,c,M,69,NA
294,Surrender,2005-07-13,FALSE,FALSE,68,c,F,68,2011-11-22
295,Death,2007-04-28,TRUE,TRUE,65,c,M,65,2009-11-18
296,Surrender,2006-11-12,TRUE,TRUE,68,b,M,76,2017-08-01
297,Active,2019-07-08,TRUE,FALSE,77,b,M,77,NA
298,Active,2017-06-10,TRUE,TRUE,74,b,M,76,NA
299,Active,2017-06-06,TRUE,FALSE,71,b,F,71,NA
300,Surrender,2007-11-10,TRUE,FALSE,55,a,F,72,2012-07-04
301,Surrender,2007-03-16,TRUE,TRUE,58,c,F,70,2008-06-09
302,Active,2018-03-17,TRUE,TRUE,70,c,F,80,NA
303,Active,2007-03-28,FALSE,TRUE,64,a,M,64,NA
304,Active,2008-08-08,TRUE,FALSE,47,c,F,57,NA
305,Active,2009-01-15,FALSE,TRUE,63,c,F,77,NA
306,Death,2011-04-02,TRUE,FALSE,57,b,F,57,2013-12-17
307,Active,2016-09-05,TRUE,FALSE,75,c,M,77,NA
308,Active,2018-02-27,TRUE,FALSE,59,b,M,59,NA
309,Death,2012-12-15,FALSE,TRUE,65,c,F,65,2016-08-22
310,Active,2011-10-17,TRUE,FALSE,66,a,F,69,NA
311,Surrender,2013-10-03,TRUE,FALSE,50,a,F,73,2016-08-03
312,Active,2012-11-02,FALSE,FALSE,62,c,M,71,NA
313,Surrender,2008-07-10,FALSE,TRUE,72,b,F,72,2014-04-05
314,Active,2018-04-03,TRUE,TRUE,55,c,F,67,NA
315,Death,2013-12-20,TRUE,FALSE,68,b,F,68,2019-04-23
316,Surrender,2006-12-12,FALSE,TRUE,71,b,M,71,2017-09-20
317,Active,2006-06-05,TRUE,FALSE,58,b,F,77,NA
318,Active,2015-10-28,TRUE,FALSE,61,c,F,77,NA
319,Active,2013-04-25,FALSE,FALSE,54,a,M,61,NA
320,Surrender,2006-03-01,FALSE,TRUE,54,a,M,73,2013-06-21
321,Active,2006-09-26,FALSE,FALSE,74,c,F,74,NA
322,Active,2014-05-03,FALSE,FALSE,77,b,F,77,NA
323,Active,2016-10-21,TRUE,TRUE,58,b,F,60,NA
324,Surrender,2008-05-20,FALSE,FALSE,49,c,M,78,2020-03-28
325,Active,2017-02-16,FALSE,TRUE,50,b,F,65,NA
326,Active,2018-07-11,FALSE,TRUE,67,c,F,67,NA
327,Active,2019-01-19,TRUE,FALSE,55,c,M,59,NA
328,Active,2018-03-25,TRUE,TRUE,74,c,M,74,NA
329,Active,2013-03-19,TRUE,TRUE,66,a,F,66,NA
330,Active,2005-10-01,TRUE,TRUE,70,c,F,70,NA
331,Active,2009-07-08,TRUE,TRUE,44,a,M,74,NA
332,Active,2014-08-31,TRUE,TRUE,69,c,F,69,NA
333,Active,2007-03-27,TRUE,TRUE,76,c,F,76,NA
334,Active,2006-02-24,FALSE,TRUE,72,c,M,79,NA
335,Active,2014-09-17,FALSE,TRUE,55,c,M,80,NA
336,Active,2011-02-26,TRUE,TRUE,70,b,M,70,NA
337,Active,2008-10-23,TRUE,FALSE,71,a,M,71,NA
338,Active,2009-04-26,TRUE,FALSE,61,a,M,68,NA
339,Death,2009-06-14,FALSE,FALSE,71,a,F,71,2018-03-25
340,Active,2019-03-05,FALSE,FALSE,68,b,M,68,NA
341,Surrender,2012-10-07,FALSE,FALSE,77,c,F,77,2018-11-09
342,Active,2017-12-22,TRUE,TRUE,53,c,M,79,NA
343,Active,2011-05-12,FALSE,TRUE,66,b,F,75,NA
344,Active,2015-01-21,TRUE,FALSE,71,a,M,71,NA
345,Active,2011-11-30,FALSE,TRUE,55,b,F,72,NA
346,Active,2013-11-30,TRUE,TRUE,68,a,F,68,NA
347,Active,2019-07-31,TRUE,TRUE,67,a,F,77,NA
348,Surrender,2013-05-18,FALSE,TRUE,70,b,M,70,2016-12-03
349,Active,2015-02-19,TRUE,FALSE,54,b,F,76,NA
350,Active,2009-01-25,TRUE,TRUE,75,c,M,75,NA
351,Active,2016-02-27,TRUE,FALSE,69,c,M,79,NA
352,Active,2019-07-05,TRUE,TRUE,67,c,F,68,NA
353,Surrender,2011-01-13,FALSE,FALSE,54,a,F,62,2017-09-16
354,Active,2016-03-23,TRUE,TRUE,68,c,F,69,NA
355,Active,2009-11-03,TRUE,TRUE,68,b,M,68,NA
356,Active,2019-11-21,FALSE,FALSE,60,c,M,76,NA
357,Active,2008-06-05,TRUE,FALSE,79,a,F,79,NA
358,Active,2012-12-23,FALSE,FALSE,64,b,M,72,NA
359,Death,2014-11-29,FALSE,FALSE,56,c,F,73,2016-10-31
360,Surrender,2006-01-07,FALSE,FALSE,57,c,M,79,2017-01-31
361,Active,2016-09-18,FALSE,TRUE,53,c,M,67,NA
362,Active,2016-04-20,FALSE,FALSE,67,c,M,68,NA
363,Surrender,2005-07-13,TRUE,FALSE,54,c,M,69,2016-07-16
364,Active,2014-10-11,FALSE,TRUE,56,b,M,65,NA
365,Active,2013-02-26,TRUE,FALSE,74,c,M,74,NA
366,Active,2007-06-07,TRUE,TRUE,78,b,F,78,NA
367,Active,2016-08-10,FALSE,TRUE,47,c,F,67,NA
368,Active,2018-07-13,FALSE,FALSE,59,c,F,65,NA
369,Active,2012-09-27,FALSE,TRUE,64,c,M,64,NA
370,Active,2011-09-06,FALSE,FALSE,64,a,M,67,NA
371,Active,2012-02-14,TRUE,FALSE,65,b,M,74,NA
372,Active,2013-06-17,FALSE,TRUE,57,b,F,72,NA
373,Active,2006-12-25,TRUE,TRUE,69,c,F,69,NA
374,Active,2012-07-08,FALSE,TRUE,68,b,M,68,NA
375,Active,2010-10-09,TRUE,TRUE,54,b,F,70,NA
376,Active,2019-03-17,FALSE,FALSE,61,c,M,61,NA
377,Death,2007-02-05,TRUE,TRUE,68,c,M,68,2009-10-04
378,Active,2015-12-27,FALSE,FALSE,58,b,F,73,NA
379,Death,2014-12-19,TRUE,FALSE,60,b,F,62,2016-01-10
380,Active,2019-05-21,FALSE,TRUE,66,a,M,79,NA
381,Active,2010-10-26,TRUE,TRUE,70,c,F,78,NA
382,Death,2007-05-28,TRUE,FALSE,73,b,M,73,2012-12-27
383,Active,2013-05-07,FALSE,TRUE,73,a,M,73,NA
384,Active,2007-01-19,FALSE,TRUE,63,c,M,63,NA
385,Active,2010-09-11,TRUE,TRUE,59,c,F,66,NA
386,Surrender,2005-01-03,TRUE,FALSE,67,a,F,67,2016-04-02
387,Active,2016-07-16,FALSE,FALSE,62,c,M,62,NA
388,Active,2014-02-23,TRUE,FALSE,54,a,M,75,NA
389,Active,2017-06-01,TRUE,FALSE,67,c,M,67,NA
390,Active,2015-08-03,FALSE,TRUE,70,c,M,77,NA
391,Active,2019-12-09,FALSE,TRUE,59,c,F,66,NA
392,Surrender,2014-12-17,FALSE,FALSE,80,a,F,80,2018-01-17
393,Active,2008-12-03,FALSE,TRUE,74,c,M,74,NA
394,Active,2007-04-10,FALSE,TRUE,65,c,M,67,NA
395,Active,2017-04-20,TRUE,TRUE,45,a,M,53,NA
396,Active,2015-02-02,FALSE,TRUE,67,c,M,67,NA
397,Active,2014-10-29,TRUE,FALSE,61,c,F,80,NA
398,Active,2017-03-21,TRUE,TRUE,73,a,M,73,NA
399,Active,2017-12-06,TRUE,TRUE,57,b,F,62,NA
400,Active,2019-10-16,FALSE,FALSE,51,c,F,71,NA
401,Active,2019-02-26,TRUE,TRUE,69,c,F,73,NA
402,Active,2016-05-13,FALSE,FALSE,65,c,M,66,NA
403,Active,2005-05-13,TRUE,TRUE,48,b,M,70,NA
404,Active,2010-02-03,FALSE,TRUE,78,c,M,78,NA
