spec_id,age_at_entry,sex,policy_term,policy_count,sum_assured,duration_mth,premium_pp,av_pp_init,accum_prem_init_pp
C,33,M,9999,32.0,868000,0,1600,0,0
B,27,F,15,83.0,807000,0,807000,0,0
B,43,F,20,16.0,334000,0,334000,0,0
A,23,F,20,3.0,986000,0,986000,0,0
C,26,M,9999,5.0,159000,0,300,0,0
A,25,F,15,41.0,58000,0,58000,0,0
D,22,F,9999,4.0,299000,0,500,0,0
B,46,M,15,3.0,820000,0,820000,0,0
B,22,F,15,28.0,19000,0,19000,0,0
B,33,M,20,67.0,721000,0,721000,0,0
A,59,M,10,71.0,234000,0,234000,0,0
B,45,F,10,38.0,438000,0,438000,0,0
C,42,F,9999,28.0,478000,0,1100,0,0
D,22,M,9999,23.0,804000,0,1200,0,0
B,56,M,15,43.0,658000,0,658000,0,0
C,33,M,9999,63.0,719000,0,1300,0,0
D,20,M,9999,26.0,706000,0,1000,0,0
A,35,M,10,12.0,171000,0,171000,0,0
A,51,M,10,56.0,487000,0,487000,0,0
B,45,M,20,49.0,955000,0,955000,0,0
A,39,M,10,41.0,582000,0,582000,0,0
A,25,M,20,31.0,449000,0,449000,0,0
B,22,M,20,79.0,493000,0,493000,0,0
D,23,F,9999,12.0,441000,0,700,0,0
C,30,F,9999,38.0,495000,0,900,0,0
C,52,F,9999,31.0,606000,0,1900,0,0
D,44,F,9999,80.0,761000,0,1800,0,0
D,22,M,9999,10.0,398000,0,600,0,0
C,48,F,9999,68.0,354000,0,1000,0,0
D,36,M,9999,93.0,343000,0,700,0,0
A,59,M,20,89.0,668000,0,668000,0,0
C,27,M,9999,23.0,63000,0,100,0,0
D,53,M,9999,11.0,253000,0,800,0,0
C,50,M,9999,34.0,781000,0,2200,0,0
C,37,M,9999,2.0,956000,0,1900,0,0
B,35,M,20,57.0,614000,0,614000,0,0
A,22,M,15,39.0,976000,0,976000,0,0
D,23,F,9999,75.0,36000,0,100,0,0
D,39,M,9999,29.0,90000,0,200,0,0
D,37,M,9999,84.0,28000,0,100,0,0
B,46,M,20,56.0,859000,0,859000,0,0
A,29,M,20,80.0,234000,0,234000,0,0
C,42,M,9999,16.0,311000,0,700,0,0
C,29,F,9999,68.0,894000,0,1500,0,0
B,56,F,20,85.0,320000,0,320000,0,0
D,35,M,9999,53.0,577000,0,1100,0,0
C,49,F,9999,51.0,697000,0,1900,0,0
B,59,F,10,77.0,788000,0,788000,0,0
B,29,F,10,21.0,287000,0,287000,0,0
A,41,M,10,72.0,437000,0,437000,0,0
C,49,F,9999,50.0,539000,0,1500,0,0
A,25,F,15,45.0,934000,0,934000,0,0
B,44,M,20,98.0,708000,0,708000,0,0
D,24,M,9999,58.0,402000,0,600,0,0
A,25,F,15,48.0,808000,0,808000,0,0
B,26,M,20,92.0,874000,0,874000,0,0
A,42,F,10,25.0,396000,0,396000,0,0
B,30,F,20,29.0,343000,0,343000,0,0
D,40,F,9999,100.0,566000,0,1200,0,0
C,37,F,9999,90.0,908000,0,1800,0,0
C,47,M,9999,0.0,160000,0,500,0,0
D,58,F,9999,76.0,223000,0,900,0,0
B,23,M,10,64.0,527000,0,527000,0,0
D,46,M,9999,63.0,661000,0,1700,0,0
A,22,M,10,58.0,381000,0,381000,0,0
D,28,M,9999,67.0,738000,0,1200,0,0
D,20,M,9999,28.0,895000,0,1300,0,0
B,33,M,20,78.0,266000,0,266000,0,0
A,51,F,15,23.0,852000,0,852000,0,0
B,27,F,20,36.0,139000,0,139000,0,0
C,52,M,9999,47.0,609000,0,1900,0,0
C,20,F,9999,62.0,33000,0,100,0,0
C,35,F,9999,43.0,321000,0,600,0,0
C,48,F,9999,72.0,468000,0,1300,0,0
B,22,M,20,48.0,766000,0,766000,0,0
C,30,F,9999,30.0,369000,0,700,0,0
A,21,F,20,0.0,249000,0,249000,0,0
C,40,M,9999,90.0,392000,0,900,0,0
C,32,F,9999,31.0,438000,0,800,0,0
C,46,M,9999,8.0,12000,0,100,0,0
A,51,M,10,28.0,623000,0,623000,0,0
B,51,F,15,94.0,345000,0,345000,0,0
B,36,F,10,21.0,528000,0,528000,0,0
C,23,M,9999,90.0,271000,0,400,0,0
B,58,M,10,1.0,798000,0,798000,0,0
A,51,M,10,76.0,979000,0,979000,0,0
A,49,M,15,78.0,526000,0,526000,0,0
C,37,M,9999,76.0,528000,0,1100,0,0
C,34,M,9999,76.0,75000,0,200,0,0
A,46,M,15,69.0,573000,0,573000,0,0
A,42,F,10,37.0,206000,0,206000,0,0
A,29,M,10,68.0,179000,0,179000,0,0
B,49,M,15,29.0,458000,0,458000,0,0
A,58,F,10,60.0,627000,0,627000,0,0
A,28,M,15,56.0,15000,0,15000,0,0
A,53,F,20,40.0,988000,0,988000,0,0
B,21,M,15,40.0,625000,0,625000,0,0
C,42,M,9999,44.0,919000,0,2100,0,0
C,48,M,9999,70.0,325000,0,900,0,0
D,32,M,9999,40.0,970000,0,1700,0,0
C,26,M,9999,92.0,616000,0,1000,0,0
C,58,F,9999,71.0,222000,0,900,0,0
C,56,F,9999,79.0,131000,0,500,0,0
C,26,F,9999,53.0,160000,0,300,0,0
C,41,M,9999,72.0,202000,0,500,0,0
D,49,M,9999,37.0,732000,0,2000,0,0
B,39,M,10,40.0,976000,0,976000,0,0
C,44,F,9999,31.0,239000,0,600,0,0
B,34,F,15,51.0,149000,0,149000,0,0
A,38,F,10,49.0,351000,0,351000,0,0
B,25,F,15,73.0,887000,0,887000,0,0
A,24,F,20,91.0,788000,0,788000,0,0
C,41,F,9999,4.0,267000,0,600,0,0
D,48,F,9999,14.0,489000,0,1300,0,0
A,58,F,15,14.0,145000,0,145000,0,0
A,47,F,10,45.0,77000,0,77000,0,0
D,22,F,9999,3.0,760000,0,1100,0,0
B,58,M,20,8.0,603000,0,603000,0,0
C,28,F,9999,26.0,173000,0,300,0,0
C,55,M,9999,40.0,220000,0,800,0,0
B,31,M,20,24.0,870000,0,870000,0,0
B,49,F,15,46.0,61000,0,61000,0,0
B,32,F,20,51.0,75000,0,75000,0,0
C,38,M,9999,94.0,928000,0,1900,0,0
B,37,M,15,69.0,347000,0,347000,0,0
A,21,F,10,81.0,445000,0,445000,0,0
A,34,M,20,49.0,144000,0,144000,0,0
D,47,F,9999,52.0,419000,0,1100,0,0
B,54,F,10,22.0,869000,0,869000,0,0
A,34,F,20,9.0,309000,0,309000,0,0
C,57,M,9999,60.0,441000,0,1600,0,0
C,27,F,9999,13.0,600000,0,1000,0,0
D,23,M,9999,66.0,999000,0,1500,0,0
A,26,F,20,37.0,741000,0,741000,0,0
A,50,M,15,41.0,598000,0,598000,0,0
C,22,F,9999,92.0,349000,0,600,0,0
C,25,M,9999,31.0,710000,0,1100,0,0
D,48,M,9999,21.0,369000,0,1000,0,0
A,51,F,10,50.0,290000,0,290000,0,0
D,56,M,9999,55.0,90000,0,400,0,0
D,49,F,9999,38.0,470000,0,1300,0,0
D,45,M,9999,75.0,663000,0,1600,0,0
A,23,M,10,43.0,288000,0,288000,0,0
B,23,F,15,82.0,500000,0,500000,0,0
B,23,M,20,36.0,192000,0,192000,0,0
D,58,M,9999,93.0,809000,0,3100,0,0
A,21,M,10,36.0,742000,0,742000,0,0
B,50,F,10,77.0,371000,0,371000,0,0
A,41,M,10,10.0,447000,0,447000,0,0
A,58,M,10,82.0,109000,0,109000,0,0
C,22,F,9999,55.0,632000,0,1000,0,0
C,33,F,9999,4.0,811000,0,1500,0,0
C,52,M,9999,14.0,618000,0,1900,0,0
C,20,M,9999,80.0,341000,0,500,0,0
D,44,F,9999,47.0,325000,0,800,0,0
C,24,M,9999,31.0,233000,0,400,0,0
B,33,F,20,34.0,721000,0,721000,0,0
A,36,F,10,21.0,147000,0,147000,0,0
C,42,M,9999,55.0,262000,0,600,0,0
C,22,M,9999,29.0,383000,0,600,0,0
D,59,F,9999,39.0,959000,0,3900,0,0
D,46,F,9999,18.0,291000,0,800,0,0
D,58,M,9999,87.0,598000,0,2300,0,0
C,46,F,9999,86.0,261000,0,700,0,0
B,56,M,10,82.0,647000,0,647000,0,0
A,35,F,15,51.0,89000,0,89000,0,0
D,40,F,9999,93.0,51000,0,200,0,0
A,21,F,20,72.0,278000,0,278000,0,0
C,42,F,9999,46.0,294000,0,700,0,0
A,59,F,20,24.0,237000,0,237000,0,0
B,42,F,15,19.0,359000,0,359000,0,0
C,48,M,9999,93.0,557000,0,1500,0,0
B,44,M,15,100.0,516000,0,516000,0,0
D,32,F,9999,4.0,628000,0,1100,0,0
C,40,F,9999,68.0,903000,0,1900,0,0
C,56,M,9999,11.0,589000,0,2100,0,0
B,44,F,20,87.0,444000,0,444000,0,0
D,21,F,9999,16.0,408000,0,600,0,0
B,36,M,10,77.0,230000,0,230000,0,0
D,26,M,9999,79.0,553000,0,900,0,0
A,27,M,15,22.0,158000,0,158000,0,0
C,55,F,9999,96.0,126000,0,500,0,0
B,24,M,10,79.0,676000,0,676000,0,0
D,23,M,9999,74.0,258000,0,400,0,0
D,22,M,9999,12.0,688000,0,1000,0,0
B,55,M,20,70.0,648000,0,648000,0,0
B,55,F,15,27.0,365000,0,365000,0,0
D,56,M,9999,72.0,308000,0,1100,0,0
D,55,M,9999,67.0,239000,0,800,0,0
A,45,M,10,80.0,374000,0,374000,0,0
A,52,M,15,7.0,496000,0,496000,0,0
A,58,F,20,34.0,574000,0,574000,0,0
B,37,M,15,74.0,800000,0,800000,0,0
B,28,M,20,56.0,801000,0,801000,0,0
D,47,F,9999,61.0,51000,0,200,0,0
D,24,F,9999,92.0,581000,0,900,0,0
C,22,M,9999,45.0,574000,0,900,0,0
A,35,M,15,37.0,448000,0,448000,0,0
D,52,F,9999,87.0,152000,0,500,0,0
C,53,M,9999,81.0,96000,0,300,0,0
C,28,F,9999,14.0,923000,0,1500,0,0
A,50,M,10,43.0,466000,0,466000,0,0
C,25,F,9999,18.0,729000,0,1200,0,0
B,27,F,10,6.0,714000,0,714000,0,0
B,35,M,15,39.0,25000,0,25000,0,0
B,32,M,20,35.0,137000,0,137000,0,0
D,48,F,9999,26.0,903000,0,2400,0,0
D,54,F,9999,1.0,637000,0,2100,0,0
B,53,M,20,83.0,438000,0,438000,0,0
B,53,F,20,16.0,912000,0,912000,0,0
D,23,F,9999,31.0,270000,0,400,0,0
A,54,M,10,64.0,722000,0,722000,0,0
A,59,F,15,62.0,665000,0,665000,0,0
C,40,M,9999,51.0,867000,0,1900,0,0
B,32,F,15,63.0,849000,0,849000,0,0
A,24,M,20,98.0,786000,0,786000,0,0
C,31,M,9999,40.0,551000,0,1000,0,0
A,47,M,20,85.0,758000,0,758000,0,0
D,46,F,9999,35.0,741000,0,1900,0,0
C,20,F,9999,1.0,26000,0,100,0,0
D,54,M,9999,43.0,341000,0,1100,0,0
B,30,F,20,9.0,241000,0,241000,0,0
D,41,F,9999,2.0,696000,0,1500,0,0
B,53,M,10,5.0,384000,0,384000,0,0
D,43,F,9999,73.0,631000,0,1500,0,0
A,35,F,15,83.0,999000,0,999000,0,0
D,32,M,9999,31.0,395000,0,700,0,0
C,59,F,9999,41.0,430000,0,1800,0,0
B,50,M,10,49.0,766000,0,766000,0,0
C,39,M,9999,51.0,840000,0,1800,0,0
A,28,F,15,48.0,824000,0,824000,0,0
D,58,F,9999,26.0,730000,0,2800,0,0
C,52,F,9999,59.0,279000,0,900,0,0
D,32,F,9999,13.0,911000,0,1600,0,0
B,45,F,20,69.0,231000,0,231000,0,0
C,56,M,9999,29.0,877000,0,3100,0,0
B,43,M,15,78.0,184000,0,184000,0,0
C,21,F,9999,39.0,698000,0,1000,0,0
C,54,F,9999,47.0,239000,0,800,0,0
A,27,F,10,71.0,997000,0,997000,0,0
A,51,M,15,55.0,11000,0,11000,0,0
C,56,F,9999,94.0,612000,0,2200,0,0
B,30,F,10,77.0,116000,0,116000,0,0
B,57,F,10,2.0,614000,0,614000,0,0
C,36,M,9999,11.0,320000,0,700,0,0
C,20,M,9999,28.0,918000,0,1300,0,0
A,26,M,20,75.0,801000,0,801000,0,0
C,34,F,9999,20.0,439000,0,800,0,0
C,59,F,9999,34.0,869000,0,3500,0,0
B,25,F,15,52.0,297000,0,297000,0,0
B,27,M,15,16.0,805000,0,805000,0,0
D,44,M,9999,63.0,18000,0,100,0,0
B,26,M,20,20.0,107000,0,107000,0,0
C,44,F,9999,90.0,612000,0,1500,0,0
A,45,F,15,51.0,36000,0,36000,0,0
D,36,F,9999,53.0,470000,0,900,0,0
A,21,M,15,70.0,630000,0,630000,0,0
C,52,F,9999,16.0,247000,0,800,0,0
C,36,M,9999,94.0,128000,0,300,0,0
B,27,F,15,78.0,186000,0,186000,0,0
D,48,M,9999,86.0,112000,0,300,0,0
C,42,M,9999,88.0,408000,0,900,0,0
C,29,M,9999,70.0,186000,0,400,0,0
D,43,M,9999,75.0,386000,0,900,0,0
A,35,M,10,29.0,938000,0,938000,0,0
B,56,M,10,33.0,926000,0,926000,0,0
B,35,M,10,27.0,829000,0,829000,0,0
C,38,F,9999,85.0,305000,0,700,0,0
C,55,M,9999,77.0,459000,0,1600,0,0
A,48,M,10,38.0,317000,0,317000,0,0
B,42,F,15,8.0,82000,0,82000,0,0
C,55,M,9999,98.0,54000,0,200,0,0
C,32,F,9999,6.0,177000,0,400,0,0
C,32,M,9999,76.0,165000,0,300,0,0
B,29,F,15,83.0,83000,0,83000,0,0
B,54,M,10,66.0,478000,0,478000,0,0
D,44,M,9999,58.0,940000,0,2200,0,0
D,54,F,9999,49.0,422000,0,1400,0,0
C,53,F,9999,42.0,517000,0,1600,0,0
D,24,M,9999,56.0,339000,0,600,0,0
B,51,M,10,99.0,908000,0,908000,0,0
D,42,F,9999,30.0,155000,0,400,0,0
D,52,M,9999,77.0,584000,0,1800,0,0
C,40,M,9999,51.0,885000,0,1900,0,0
B,58,M,20,75.0,297000,0,297000,0,0
C,25,M,9999,3.0,991000,0,1600,0,0
B,42,M,15,40.0,768000,0,768000,0,0
C,55,F,9999,66.0,161000,0,600,0,0
A,20,F,15,65.0,379000,0,379000,0,0
A,24,M,10,85.0,321000,0,321000,0,0
B,33,F,15,71.0,286000,0,286000,0,0
B,21,M,15,83.0,158000,0,158000,0,0
A,31,M,15,90.0,835000,0,835000,0,0
C,23,M,9999,48.0,198000,0,300,0,0
C,59,F,9999,80.0,267000,0,1100,0,0
B,28,F,15,64.0,845000,0,845000,0,0
A,54,F,20,10.0,703000,0,703000,0,0
A,50,M,15,56.0,228000,0,228000,0,0
D,50,F,9999,69.0,744000,0,2100,0,0
D,36,M,9999,62.0,469000,0,900,0,0
D,22,F,9999,52.0,547000,0,800,0,0
D,30,F,9999,68.0,326000,0,600,0,0
B,58,M,15,21.0,808000,0,808000,0,0
C,39,F,9999,28.0,789000,0,1700,0,0
A,21,M,10,74.0,417000,0,417000,0,0
A,20,F,15,99.0,662000,0,662000,0,0
C,23,F,9999,14.0,988000,0,1500,0,0
D,50,F,9999,32.0,827000,0,2300,0,0
C,31,M,9999,91.0,432000,0,800,0,0
A,59,F,10,39.0,249000,0,249000,0,0
D,56,F,9999,29.0,534000,0,1900,0,0
D,47,M,9999,18.0,828000,0,2100,0,0
C,28,M,9999,90.0,974000,0,1600,0,0
C,41,M,9999,59.0,78000,0,200,0,0
C,42,M,9999,84.0,571000,0,1300,0,0
C,31,M,9999,24.0,769000,0,1400,0,0
D,52,F,9999,56.0,560000,0,1700,0,0
B,28,F,20,70.0,109000,0,109000,0,0
B,26,M,15,74.0,527000,0,527000,0,0
D,24,F,9999,48.0,936000,0,1400,0,0
B,59,M,20,80.0,49000,0,49000,0,0
A,41,M,20,69.0,996000,0,996000,0,0
D,38,M,9999,95.0,175000,0,400,0,0
A,25,M,20,47.0,877000,0,877000,0,0
B,45,F,10,14.0,797000,0,797000,0,0
B,54,M,10,15.0,301000,0,301000,0,0
C,41,F,9999,0.0,961000,0,2100,0,0
D,29,F,9999,5.0,688000,0,1200,0,0
B,44,M,10,45.0,61000,0,61000,0,0
B,26,M,10,77.0,531000,0,531000,0,0
B,21,F,15,93.0,306000,0,306000,0,0
D,40,M,9999,39.0,762000,0,1600,0,0
A,27,M,20,36.0,439000,0,439000,0,0
D,32,M,9999,86.0,109000,0,200,0,0
D,29,M,9999,81.0,872000,0,1500,0,0
A,46,F,15,30.0,63000,0,63000,0,0
A,59,M,20,60.0,478000,0,478000,0,0
C,45,F,9999,59.0,998000,0,2400,0,0
D,23,M,9999,68.0,410000,0,600,0,0
D,48,F,9999,41.0,247000,0,700,0,0
C,40,F,9999,21.0,416000,0,900,0,0
D,25,M,9999,55.0,201000,0,400,0,0
A,45,M,20,7.0,893000,0,893000,0,0
D,33,M,9999,52.0,138000,0,300,0,0
D,59,M,9999,21.0,430000,0,1800,0,0
B,39,F,10,34.0,870000,0,870000,0,0
D,46,F,9999,92.0,557000,0,1400,0,0
A,55,M,20,35.0,815000,0,815000,0,0
A,29,F,15,98.0,734000,0,734000,0,0
D,35,M,9999,58.0,536000,0,1000,0,0
B,22,M,10,54.0,262000,0,262000,0,0
D,29,M,9999,27.0,456000,0,800,0,0
C,54,M,9999,19.0,233000,0,800,0,0
B,46,M,20,18.0,260000,0,260000,0,0
A,27,M,10,58.0,398000,0,398000,0,0
B,38,M,20,82.0,377000,0,377000,0,0
B,43,F,15,23.0,539000,0,539000,0,0
C,35,F,9999,83.0,628000,0,1200,0,0
A,56,F,15,73.0,461000,0,461000,0,0
A,29,M,10,56.0,904000,0,904000,0,0
C,28,F,9999,34.0,689000,0,1200,0,0
A,47,F,20,24.0,490000,0,490000,0,0
C,56,F,9999,86.0,107000,0,400,0,0
A,40,M,20,71.0,51000,0,51000,0,0
D,33,M,9999,7.0,931000,0,1700,0,0
A,24,M,10,4.0,314000,0,314000,0,0
B,55,M,15,7.0,77000,0,77000,0,0
B,38,M,10,16.0,850000,0,850000,0,0
B,48,M,20,95.0,331000,0,331000,0,0
C,51,M,9999,37.0,106000,0,400,0,0
A,54,F,20,55.0,824000,0,824000,0,0
B,53,F,10,59.0,502000,0,502000,0,0
A,34,M,15,28.0,794000,0,794000,0,0
B,57,M,15,71.0,481000,0,481000,0,0
D,29,M,9999,77.0,475000,0,800,0,0
A,36,F,15,59.0,62000,0,62000,0,0
A,35,M,20,44.0,389000,0,389000,0,0
B,36,F,20,85.0,131000,0,131000,0,0
A,46,M,10,76.0,297000,0,297000,0,0
A,26,M,20,68.0,20000,0,20000,0,0
A,35,F,10,49.0,235000,0,235000,0,0
D,30,M,9999,48.0,800000,0,1400,0,0
A,27,M,20,10.0,964000,0,964000,0,0
C,22,M,9999,18.0,743000,0,1100,0,0
B,22,F,10,66.0,490000,0,490000,0,0
A,30,M,15,12.0,979000,0,979000,0,0
B,31,M,20,26.0,10000,0,10000,0,0
D,38,M,9999,10.0,989000,0,2000,0,0
D,42,F,9999,36.0,986000,0,2200,0,0
A,28,M,10,73.0,544000,0,544000,0,0
C,42,M,9999,17.0,372000,0,900,0,0
D,41,F,9999,30.0,616000,0,1400,0,0
D,25,M,9999,13.0,488000,0,800,0,0
C,20,M,9999,30.0,867000,0,1300,0,0
A,20,M,15,95.0,906000,0,906000,0,0
A,27,M,10,64.0,696000,0,696000,0,0
C,36,F,9999,79.0,66000,0,200,0,0
C,33,F,9999,81.0,802000,0,1500,0,0
D,48,M,9999,16.0,272000,0,800,0,0
A,41,F,15,81.0,314000,0,314000,0,0
A,39,F,20,26.0,708000,0,708000,0,0
C,46,M,9999,89.0,643000,0,1600,0,0
B,31,M,15,9.0,980000,0,980000,0,0
A,48,F,15,36.0,888000,0,888000,0,0
B,46,F,15,79.0,344000,0,344000,0,0
A,44,F,10,50.0,674000,0,674000,0,0
D,33,M,9999,40.0,202000,0,400,0,0
C,47,F,9999,79.0,251000,0,700,0,0
D,43,F,9999,68.0,879000,0,2000,0,0
C,23,M,9999,10.0,390000,0,600,0,0
C,53,M,9999,24.0,248000,0,800,0,0
D,46,M,9999,39.0,635000,0,1600,0,0
B,44,F,10,69.0,183000,0,183000,0,0
D,22,M,9999,65.0,303000,0,500,0,0
D,45,M,9999,23.0,969000,0,2400,0,0
B,50,F,20,29.0,986000,0,986000,0,0
A,27,F,15,91.0,650000,0,650000,0,0
C,50,M,9999,80.0,806000,0,2300,0,0
D,28,M,9999,59.0,25000,0,100,0,0
D,27,F,9999,36.0,750000,0,1200,0,0
A,23,M,10,23.0,680000,0,680000,0,0
C,23,F,9999,82.0,63000,0,100,0,0
D,40,M,9999,22.0,513000,0,1100,0,0
B,21,F,20,20.0,766000,0,766000,0,0
C,46,M,9999,36.0,524000,0,1300,0,0
B,51,F,20,52.0,992000,0,992000,0,0
B,29,M,20,75.0,627000,0,627000,0,0
A,39,F,20,36.0,788000,0,788000,0,0
C,50,M,9999,35.0,97000,0,300,0,0
C,53,M,9999,19.0,258000,0,800,0,0
B,20,M,20,98.0,202000,0,202000,0,0
C,49,F,9999,82.0,136000,0,400,0,0
B,23,F,20,10.0,510000,0,510000,0,0
D,44,M,9999,68.0,763000,0,1800,0,0
B,25,F,10,82.0,732000,0,732000,0,0
C,30,F,9999,69.0,872000,0,1500,0,0
B,37,M,10,65.0,874000,0,874000,0,0
B,21,F,15,72.0,526000,0,526000,0,0
D,55,F,9999,56.0,100000,0,400,0,0
D,34,M,9999,94.0,384000,0,700,0,0
C,38,M,9999,61.0,666000,0,1400,0,0
C,43,F,9999,60.0,845000,0,2000,0,0
A,47,F,10,3.0,140000,0,140000,0,0
C,50,M,9999,64.0,413000,0,1200,0,0
D,59,F,9999,5.0,957000,0,3800,0,0
D,27,M,9999,34.0,76000,0,200,0,0
B,25,F,10,20.0,33000,0,33000,0,0
D,47,F,9999,29.0,456000,0,1200,0,0
D,37,F,9999,46.0,873000,0,1700,0,0
A,47,F,15,16.0,991000,0,991000,0,0
C,51,F,9999,93.0,707000,0,2100,0,0
A,27,F,20,1.0,842000,0,842000,0,0
B,25,M,15,72.0,272000,0,272000,0,0
A,33,F,15,12.0,844000,0,844000,0,0
D,45,M,9999,72.0,574000,0,1400,0,0
D,35,M,9999,60.0,457000,0,900,0,0
C,35,F,9999,1.0,481000,0,900,0,0
B,54,F,15,9.0,93000,0,93000,0,0
D,26,M,9999,93.0,707000,0,1100,0,0
D,53,F,9999,89.0,471000,0,1500,0,0
C,21,F,9999,73.0,403000,0,600,0,0
D,40,M,9999,13.0,682000,0,1500,0,0
C,53,M,9999,99.0,183000,0,600,0,0
C,23,F,9999,10.0,693000,0,1100,0,0
D,36,M,9999,59.0,750000,0,1500,0,0
A,56,F,15,91.0,616000,0,616000,0,0
C,25,F,9999,3.0,132000,0,200,0,0
D,52,M,9999,37.0,984000,0,3000,0,0
A,30,F,15,30.0,810000,0,810000,0,0
A,27,M,10,9.0,141000,0,141000,0,0
D,22,F,9999,55.0,651000,0,1000,0,0
B,26,F,20,2.0,806000,0,806000,0,0
C,57,M,9999,42.0,603000,0,2200,0,0
D,32,M,9999,25.0,311000,0,600,0,0
