policy_id,age_at_entry,sex,policy_term,policy_count,sum_assured,duration_mth
618,55,M,10,49,870000,23
619,38,F,10,91,388000,-18
620,35,M,10,53,825000,-28
621,24,M,15,62,596000,-13
622,36,F,15,62,871000,98
623,45,F,15,69,359000,113
624,48,F,15,7,575000,-7
625,20,F,10,24,113000,5
626,45,F,10,93,172000,95
627,43,F,20,42,442000,-3
628,55,F,20,49,864000,232
629,53,F,15,64,456000,161
630,47,M,20,37,824000,238
631,43,F,20,79,532000,178
632,40,F,20,45,348000,60
633,53,M,20,70,241000,-4
634,56,F,20,92,814000,209
635,28,F,15,12,281000,57
636,33,M,15,40,34000,7
637,39,M,10,59,124000,34
638,34,M,15,5,133000,176
639,27,F,15,23,663000,31
640,34,F,15,34,261000,99
641,45,M,15,3,764000,133
642,39,M,10,40,619000,92
643,41,M,20,85,356000,95
644,21,M,15,6,201000,137
645,46,M,20,31,439000,-11
646,38,F,20,31,55000,4
647,58,M,15,66,103000,32
648,32,F,15,34,776000,145
649,40,M,10,34,471000,11
650,29,M,15,55,87000,141
651,40,F,15,1,850000,151
652,29,F,20,86,95000,74
653,24,M,10,36,817000,118
654,51,M,15,90,784000,135
655,40,M,15,22,585000,13
656,35,F,15,45,131000,100
657,29,F,10,59,900000,68
658,59,M,15,27,671000,133
659,41,M,10,24,592000,10
660,36,M,10,62,688000,25
661,51,M,10,16,367000,42
662,47,F,15,47,386000,141
663,32,M,15,10,85000,140
664,32,M,10,74,506000,-17
665,45,M,20,34,417000,135
666,53,F,20,44,509000,198
667,34,M,10,48,131000,111
668,28,M,15,46,127000,102
669,32,F,15,79,327000,43
670,31,F,15,45,190000,55
671,43,M,20,65,171000,79
672,31,F,10,60,348000,-5
673,58,F,20,18,22000,160
674,25,M,20,38,610000,156
675,34,F,15,2,482000,104
676,50,F,15,53,432000,-30
677,27,F,10,63,927000,103
678,37,F,15,73,143000,74
679,42,F,10,40,621000,9
680,25,F,15,85,439000,-34
681,43,M,10,4,940000,69
682,41,M,20,12,920000,-17
683,48,M,15,40,327000,63
684,39,F,10,38,911000,46
685,50,F,20,8,233000,240
686,40,M,10,98,732000,-9
687,43,M,10,39,758000,67
688,48,F,20,51,985000,-8
689,48,F,15,81,967000,-3
690,22,F,10,86,601000,-33
691,35,M,15,2,698000,86
692,39,M,20,73,40000,72
693,44,M,10,68,691000,-5
694,22,F,10,24,713000,82
695,22,M,15,99,209000,8
696,59,M,15,9,58000,94
697,23,F,15,41,708000,16
698,46,F,10,32,468000,100
699,30,M,10,72,193000,119
700,26,M,15,69,328000,156
701,31,F,10,39,793000,18
702,56,M,15,96,118000,58
703,38,M,15,68,740000,86
704,26,F,20,2,555000,-26
705,20,M,10,40,369000,29
706,34,F,10,29,615000,6
707,55,M,20,32,232000,-27
708,21,M,20,26,913000,15
709,39,M,10,39,162000,77
710,34,F,15,77,406000,53
711,26,F,15,58,438000,145
712,49,F,15,62,290000,-34
713,39,M,15,20,116000,40
714,24,M,15,24,720000,-1
715,59,F,10,98,950000,-30
716,51,M,10,88,460000,30
717,39,F,20,19,960000,9
718,37,F,10,54,557000,0
719,43,F,20,40,263000,167
720,52,M,20,49,813000,93
721,24,F,15,12,426000,139
722,26,F,10,86,779000,118
723,26,M,10,24,373000,-8
724,56,F,10,25,610000,35
725,38,M,20,57,547000,233
726,49,M,15,52,176000,90
727,27,M,20,77,186000,-5
728,21,F,20,90,867000,52
729,33,M,20,53,889000,83
730,39,M,10,55,619000,22
731,33,M,10,60,760000,-2
732,22,F,20,67,77000,87
733,38,M,15,99,598000,-4
734,48,M,15,8,633000,87
735,30,F,20,51,488000,-5
736,34,M,10,53,446000,95
737,47,M,15,4,173000,169
738,50,F,10,20,218000,113
739,32,M,10,96,812000,1
740,55,F,20,56,779000,110
741,47,F,15,88,74000,-27
742,27,F,10,35,419000,53
743,29,F,10,39,482000,75
744,52,F,20,83,460000,177
745,42,M,15,96,333000,173
746,35,M,10,53,15000,62
747,51,F,20,15,990000,-7
748,35,M,20,51,905000,133
749,43,M,10,86,44000,67
750,46,F,10,19,394000,100
751,27,M,10,75,141000,108
752,58,M,20,7,514000,-12
753,44,F,20,34,516000,167
754,47,F,10,96,119000,39
755,38,F,10,98,408000,68
756,28,F,15,30,794000,161
757,44,F,10,8,231000,-30
758,20,F,10,87,226000,95
759,42,F,20,68,526000,45
760,24,M,10,70,264000,36
761,27,F,20,83,620000,-30
762,31,F,20,81,155000,191
763,54,F,15,58,442000,149
764,22,M,15,60,370000,79
765,33,F,10,20,301000,80
766,22,F,20,80,979000,-29
767,36,M,10,69,242000,-19
768,57,M,20,23,106000,156
769,28,M,10,94,934000,-3
770,26,F,15,74,281000,133
771,46,M,10,11,313000,105
772,33,F,20,46,789000,179
773,40,M,10,25,233000,103
774,58,F,10,62,688000,-33
775,23,M,15,82,702000,104
776,41,F,10,74,653000,23
777,55,M,20,10,515000,87
778,47,M,15,90,208000,168
779,59,F,15,80,467000,41
780,31,F,15,64,652000,13
781,46,M,10,24,146000,75
782,46,F,15,95,570000,141
783,46,M,20,94,389000,126
784,26,F,10,40,94000,62
785,50,F,20,67,773000,103
786,33,F,10,62,148000,6
787,25,M,10,92,614000,15
788,56,F,20,88,552000,70
789,39,M,10,2,599000,110
790,49,M,15,29,607000,165
791,34,F,20,9,16000,172
792,38,M,15,10,469000,143
793,21,F,20,75,159000,216
794,38,F,20,72,372000,75
795,42,M,15,38,228000,13
796,49,M,10,88,995000,12
797,42,F,15,8,623000,123
798,35,M,15,27,31000,121
799,23,M,15,97,334000,161
800,37,M,20,47,689000,187
801,49,F,10,2,725000,16
802,42,M,20,30,670000,142
803,28,F,15,18,807000,81
804,42,M,20,30,561000,109
805,41,M,15,13,351000,22
806,38,M,15,62,165000,103
807,45,M,20,35,515000,-32
808,44,F,10,29,279000,61
809,51,F,15,49,865000,4
810,25,M,15,84,832000,51
811,42,M,15,10,651000,89
812,49,F,20,59,515000,3
813,35,M,20,90,110000,129
814,26,F,10,66,366000,0
815,40,M,10,58,992000,109
816,52,M,20,16,599000,97
817,22,M,10,93,246000,69
818,42,F,10,54,32000,116
819,23,F,20,42,813000,118
820,57,F,10,74,608000,14
821,47,M,20,83,649000,230
822,36,M,10,18,566000,-25
823,50,F,10,31,738000,69
824,46,M,15,20,821000,177
825,50,F,10,55,876000,91
826,22,F,10,14,892000,108
827,42,F,10,62,845000,60
828,32,F,10,12,847000,-8
829,32,F,10,37,521000,93
830,26,M,15,73,406000,149
831,38,F,10,38,423000,59
832,46,M,10,68,885000,86
833,47,F,20,2,260000,174
834,24,M,15,68,199000,121
835,31,F,20,35,14000,227
836,39,F,10,19,237000,37
837,22,M,15,93,678000,-6
838,30,M,20,7,498000,-21
839,34,F,15,21,214000,129
840,26,F,20,68,802000,-31
841,24,M,10,65,800000,-11
842,52,F,15,49,314000,168
843,43,M,10,77,397000,39
844,29,F,20,77,218000,181
845,39,F,15,11,931000,10
846,23,M,10,8,517000,68
847,48,M,20,37,888000,85
848,35,F,10,67,260000,35
849,37,F,10,92,968000,40
850,28,M,20,65,736000,17
851,46,M,20,9,49000,-14
852,48,F,20,9,806000,215
853,43,M,15,16,729000,166
854,44,M,10,9,760000,-31
855,52,F,10,38,425000,94
856,57,M,15,79,725000,-31
857,30,M,20,11,130000,-14
858,54,F,15,67,46000,86
859,25,M,20,48,749000,29
860,32,M,15,70,504000,174
861,48,M,15,23,876000,66
862,54,M,20,35,157000,87
863,47,M,15,16,574000,129
864,30,F,15,22,179000,148
865,37,M,15,57,413000,80
866,54,F,15,72,591000,73
867,33,M,10,49,503000,80
868,25,M,20,7,645000,179
869,48,M,15,91,516000,92
870,57,M,15,44,11000,87
871,57,M,10,11,101000,117
872,42,F,20,63,194000,40
873,36,F,20,97,590000,157
874,38,M,20,80,338000,207
875,22,M,20,56,627000,-31
876,36,F,15,89,132000,171
877,32,M,10,39,549000,14
878,35,M,10,34,806000,96
879,53,M,20,4,751000,217
880,26,M,15,32,616000,131
881,51,M,20,58,425000,139
882,45,M,10,78,748000,43
883,56,F,15,41,961000,152
884,34,F,15,10,489000,13
885,32,F,10,54,524000,-7
886,55,F,15,76,410000,156
887,25,F,20,4,363000,-7
888,24,M,10,76,721000,-7
889,50,M,10,43,743000,36
890,38,F,20,57,167000,-8
891,37,F,20,94,297000,56
892,43,F,10,88,17000,53
893,48,F,15,8,443000,30
894,49,M,20,92,96000,151
895,33,M,15,91,183000,61
896,46,F,20,28,895000,228
897,29,M,10,40,990000,21
898,37,M,20,10,597000,215
899,30,M,10,26,541000,2
900,49,M,20,32,495000,-12
901,20,F,15,62,162000,9
902,48,M,15,62,381000,-26
903,50,F,10,36,828000,107
904,35,F,20,30,511000,117
905,22,F,20,45,591000,64
906,37,M,15,21,810000,-22
907,53,M,15,40,779000,54
908,34,F,10,95,628000,90
909,41,F,15,12,731000,170
910,51,M,15,90,328000,-2
911,59,F,10,59,817000,53
912,25,F,15,31,356000,38
913,23,M,15,32,624000,9
914,52,F,20,90,758000,178
915,53,F,15,74,483000,67
916,43,M,15,45,105000,-15
