point_id,age_at_entry,sex,policy_term,policy_count,sum_assured
77,42,F,20,1,773000
78,39,F,15,1,293000
79,32,M,15,1,731000
80,30,F,20,1,199000
81,45,F,15,1,989000
82,38,M,10,1,412000
83,42,F,20,1,848000
84,46,M,20,1,482000
85,55,M,10,1,273000
86,33,F,15,1,66000
87,47,M,20,1,360000
88,56,M,10,1,216000
89,38,M,10,1,228000
90,30,M,20,1,541000
91,31,M,10,1,859000
92,33,M,10,1,385000
93,45,M,20,1,864000
94,30,F,10,1,748000
95,53,M,10,1,460000
96,34,M,10,1,991000
97,22,M,10,1,399000
98,20,F,15,1,483000
99,21,M,20,1,928000
100,45,M,10,1,163000
101,33,M,15,1,888000
102,31,M,20,1,279000
103,44,M,20,1,638000
104,22,F,15,1,260000
105,41,F,20,1,390000
106,44,M,10,1,644000
107,21,F,10,1,29000
108,27,F,10,1,12000
109,35,M,15,1,627000
110,32,F,20,1,867000
111,58,M,20,1,471000
112,37,F,20,1,566000
113,45,F,10,1,866000
114,26,F,15,1,942000
115,52,M,20,1,524000
116,28,M,15,1,870000
117,50,M,20,1,859000
118,38,F,20,1,617000
119,36,F,20,1,413000
120,39,F,10,1,999000
121,41,F,20,1,298000
122,30,F,15,1,804000
123,24,M,15,1,393000
124,31,M,20,1,829000
125,59,F,15,1,710000
126,31,F,20,1,53000
127,46,F,15,1,874000
128,30,M,15,1,56000
129,53,F,10,1,74000
130,39,F,15,1,419000
131,42,M,15,1,157000
132,28,F,20,1,899000
133,44,M,10,1,402000
134,39,M,20,1,482000
135,48,F,15,1,61000
136,29,F,15,1,831000
137,44,M,15,1,651000
138,53,F,10,1,413000
139,38,M,10,1,413000
140,27,F,10,1,242000
141,22,M,15,1,453000
142,54,M,20,1,51000
143,40,F,15,1,693000
144,27,M,10,1,142000
145,31,F,15,1,148000
146,50,M,15,1,556000
147,34,M,10,1,192000
148,44,M,15,1,837000
149,52,M,20,1,185000
150,28,F,20,1,593000
151,54,F,20,1,181000
152,50,M,20,1,177000
153,33,M,15,1,561000
154,29,F,10,1,849000
155,33,M,15,1,732000
156,23,M,15,1,400000
157,37,M,20,1,238000
158,44,M,10,1,672000
159,50,F,15,1,913000
160,41,M,10,1,119000
161,24,M,15,1,910000
162,45,F,10,1,395000
163,23,F,10,1,856000
164,26,F,20,1,520000
165,58,F,10,1,995000
166,29,M,10,1,651000
167,43,F,10,1,634000
168,47,M,20,1,94000
169,52,M,10,1,455000
170,23,M,15,1,508000
171,53,F,15,1,643000
172,55,F,10,1,383000
173,47,M,15,1,244000
174,37,M,20,1,574000
175,30,M,20,1,563000
176,44,F,15,1,643000
177,46,M,20,1,735000
178,32,M,10,1,688000
179,47,F,15,1,608000
180,27,M,10,1,953000
181,30,M,15,1,333000
182,20,M,10,1,183000
183,31,M,15,1,549000
184,28,M,20,1,408000
185,52,M,15,1,944000
186,54,M,15,1,627000
187,54,F,10,1,814000
188,58,F,20,1,284000
189,45,F,20,1,884000
190,37,M,10,1,839000
191,43,M,10,1,950000
192,35,M,20,1,69000
193,38,F,15,1,187000
194,31,F,20,1,448000
195,47,M,20,1,479000
196,58,M,10,1,135000
197,26,M,20,1,515000
198,22,F,15,1,558000
199,35,M,15,1,592000
200,36,M,20,1,558000
201,36,M,20,1,102000
202,26,M,10,1,670000
203,26,M,10,1,543000
204,29,F,10,1,650000
205,43,F,20,1,665000
206,51,F,20,1,68000
207,38,F,20,1,539000
208,28,F,15,1,64000
209,37,F,15,1,965000
210,42,M,15,1,358000
211,57,F,10,1,250000
212,34,F,20,1,981000
213,29,M,20,1,271000
214,40,M,10,1,75000
215,22,M,10,1,787000
216,33,M,20,1,763000
217,26,M,10,1,565000
218,31,M,15,1,835000
219,25,M,15,1,118000
220,31,M,15,1,996000
221,34,M,10,1,679000
222,23,M,20,1,841000
223,33,F,15,1,597000
224,39,F,20,1,835000
225,23,M,20,1,216000
226,55,M,20,1,844000
227,55,M,15,1,476000
228,57,F,15,1,44000
229,24,F,15,1,129000
230,21,F,10,1,426000
231,58,F,15,1,304000
232,56,M,10,1,661000
233,52,F,20,1,862000
234,24,F,10,1,940000
235,46,F,20,1,487000
236,49,M,15,1,735000
237,31,M,20,1,128000
238,55,M,20,1,233000
239,50,F,15,1,248000
240,26,M,10,1,104000
241,43,M,20,1,630000
242,33,M,10,1,363000
243,51,M,15,1,372000
244,35,F,20,1,914000
245,54,F,20,1,396000
246,33,F,15,1,628000
247,46,M,20,1,732000
248,40,M,10,1,107000
249,36,F,10,1,514000
250,20,M,15,1,881000
251,59,M,20,1,45000
252,36,F,15,1,434000
253,33,F,15,1,610000
254,55,M,20,1,707000
255,20,M,10,1,778000
256,23,F,10,1,161000
257,38,F,10,1,110000
258,39,F,10,1,243000
259,54,M,20,1,953000
260,39,M,15,1,890000
261,48,M,20,1,472000
262,51,F,15,1,272000
263,30,M,10,1,295000
264,58,F,10,1,777000
265,57,F,15,1,917000
266,48,F,15,1,406000
267,21,F,10,1,388000
268,30,M,15,1,427000
269,25,M,10,1,626000
270,46,M,20,1,476000
271,21,M,20,1,906000
272,33,F,10,1,517000
273,20,M,20,1,739000
274,50,M,20,1,823000
275,35,F,20,1,784000
276,47,M,10,1,208000
277,26,F,10,1,594000
278,59,F,15,1,40000
279,37,F,15,1,255000
280,54,F,10,1,659000
281,59,F,10,1,674000
282,21,M,15,1,136000
283,58,F,20,1,85000
284,31,F,20,1,216000
285,57,M,10,1,527000
286,54,F,20,1,969000
287,23,M,15,1,962000
288,44,M,15,1,841000
289,23,F,15,1,432000
290,33,M,20,1,380000
291,55,F,10,1,737000
292,22,F,20,1,166000
293,43,M,15,1,654000
294,50,F,10,1,444000
295,46,M,10,1,873000
296,20,M,10,1,462000
297,47,M,20,1,353000
298,23,F,15,1,658000
299,52,F,10,1,217000
300,59,M,15,1,955000
301,58,M,15,1,573000
302,51,F,20,1,515000
303,33,M,20,1,940000
304,54,M,10,1,246000
305,43,M,15,1,214000
306,39,M,10,1,23000
307,43,F,15,1,138000
308,26,M,15,1,609000
309,24,F,20,1,382000
310,41,F,20,1,115000
311,42,M,20,1,89000
312,37,F,10,1,198000
313,47,F,15,1,143000
314,26,F,15,1,815000
315,37,F,15,1,947000
316,26,M,20,1,807000
317,36,F,20,1,626000
318,30,M,10,1,546000
319,48,M,15,1,272000
320,57,F,15,1,694000
321,48,M,10,1,369000
322,59,M,15,1,34000
323,24,F,10,1,89000
324,48,M,20,1,388000
325,31,M,20,1,459000
326,48,M,15,1,518000
327,39,F,15,1,812000
328,49,M,20,1,343000
329,24,F,10,1,793000
330,40,M,15,1,91000
331,36,F,10,1,671000
332,27,F,10,1,507000
333,28,M,15,1,296000
334,55,M,20,1,212000
335,46,M,15,1,907000
336,55,M,20,1,807000
337,44,F,20,1,908000
338,48,M,15,1,850000
339,55,M,15,1,890000
340,57,M,20,1,573000
341,22,M,10,1,673000
342,59,M,10,1,918000
343,43,M,15,1,66000
344,40,F,10,1,979000
345,53,M,10,1,238000
346,50,M,15,1,51000
347,31,F,15,1,403000
348,44,F,20,1,663000
349,45,M,10,1,456000
350,24,F,15,1,409000
351,21,M,15,1,285000
352,32,F,10,1,346000
353,48,M,15,1,752000
354,22,F,15,1,563000
355,50,F,10,1,805000
356,55,F,15,1,967000
357,35,F,20,1,471000
358,20,F,20,1,236000
359,47,F,10,1,383000
360,41,M,20,1,171000
361,50,M,15,1,224000
362,27,M,20,1,133000
363,35,F,10,1,802000
364,25,F,20,1,342000
365,24,M,10,1,424000
366,26,F,10,1,321000
367,40,M,20,1,814000
368,55,M,10,1,744000
369,28,F,10,1,234000
370,39,F,20,1,243000
371,46,M,20,1,712000
372,33,F,15,1,240000
373,20,F,20,1,357000
374,59,M,15,1,267000
375,47,M,20,1,513000
376,41,M,20,1,24000
377,33,F,10,1,484000
378,32,M,15,1,911000
379,32,M,10,1,546000
380,34,M,20,1,892000
381,44,F,10,1,732000
382,47,M,20,1,475000
383,50,F,10,1,362000
384,24,M,20,1,971000
385,32,F,20,1,495000
386,50,F,15,1,656000
387,47,M,15,1,939000
388,55,M,15,1,684000
389,25,M,20,1,288000
390,39,F,10,1,604000
391,28,M,10,1,985000
392,37,F,20,1,331000
393,50,F,15,1,90000
394,25,M,15,1,48000
395,40,F,10,1,766000
396,36,F,10,1,147000
397,21,M,10,1,683000
398,50,M,10,1,849000
399,52,M,10,1,689000
400,36,F,10,1,344000
401,23,F,15,1,450000
402,44,F,10,1,847000
403,59,F,10,1,903000
404,21,F,10,1,664000
405,35,M,15,1,339000
406,28,M,20,1,522000
407,58,M,10,1,829000
408,28,M,10,1,47000
409,55,M,15,1,501000
410,59,F,15,1,697000
411,51,M,15,1,652000
412,21,M,20,1,76000
413,24,M,10,1,677000
414,28,M,20,1,481000
415,57,F,15,1,116000
416,21,M,20,1,843000
417,46,F,10,1,459000
418,45,F,15,1,115000
419,33,M,10,1,817000
420,46,M,20,1,544000
421,20,F,20,1,487000
422,33,F,15,1,353000
423,51,M,10,1,485000
424,21,M,10,1,492000
425,44,F,15,1,546000
426,37,F,20,1,39000
427,55,M,15,1,967000
428,26,F,20,1,227000
429,57,M,10,1,265000
430,37,M,15,1,538000
431,44,F,10,1,692000
432,34,M,10,1,15000
433,49,M,15,1,140000
434,28,M,20,1,408000
435,48,M,15,1,818000
436,53,F,10,1,43000
437,42,M,10,1,960000
438,47,M,20,1,335000
439,39,M,10,1,685000
440,38,F,10,1,208000
441,38,F,10,1,852000
442,35,M,10,1,577000
443,55,F,10,1,332000
444,24,M,20,1,874000
445,58,M,10,1,682000
446,44,M,20,1,446000
447,32,F,15,1,349000
448,40,M,20,1,525000
449,42,M,15,1,977000
450,56,M,10,1,707000
451,53,M,20,1,59000
452,58,F,15,1,727000
453,24,M,10,1,494000
454,52,M,15,1,370000
455,59,F,10,1,278000
456,54,M,10,1,236000
457,31,F,10,1,166000
458,39,F,20,1,260000
459,49,F,10,1,140000
460,34,F,10,1,613000
461,32,M,10,1,836000
462,39,M,20,1,821000
463,54,M,20,1,399000
464,41,F,10,1,597000
465,38,M,10,1,70000
466,52,M,20,1,553000
467,23,M,10,1,828000
468,26,M,20,1,107000
469,30,F,20,1,218000
470,44,F,10,1,500000
471,33,M,15,1,191000
472,56,F,10,1,765000
473,37,M,20,1,531000
474,28,M,15,1,622000
475,39,M,15,1,156000
476,31,F,10,1,719000
477,58,F,20,1,189000
478,53,M,15,1,613000
479,49,M,10,1,831000
480,46,M,10,1,455000
481,20,F,15,1,689000
482,58,M,10,1,538000
483,45,F,15,1,24000
484,45,F,10,1,871000
485,42,M,10,1,413000
486,57,F,10,1,552000
487,34,F,10,1,321000
488,53,M,15,1,392000
489,57,M,20,1,572000
490,46,F,15,1,982000
491,55,M,15,1,933000
492,27,F,10,1,486000
493,24,F,15,1,791000
494,28,M,20,1,854000
495,25,F,20,1,494000
496,54,M,20,1,617000
497,35,M,20,1,672000
498,33,M,10,1,117000
499,50,F,15,1,19000
500,47,F,10,1,614000
501,59,M,15,1,198000
502,37,M,10,1,743000
503,21,F,10,1,320000
504,38,F,10,1,409000
505,23,M,10,1,504000
506,20,M,20,1,514000
507,34,M,10,1,423000
508,52,F,20,1,61000
509,26,M,20,1,277000
510,32,F,20,1,228000
511,43,F,20,1,37000
512,33,F,15,1,282000
513,27,F,15,1,118000
514,22,M,20,1,898000
515,50,F,15,1,329000
516,44,M,20,1,654000
517,36,F,10,1,995000
518,51,F,15,1,887000
519,36,F,20,1,193000
520,40,F,10,1,722000
521,52,F,15,1,996000
522,39,M,15,1,75000
523,43,F,20,1,881000
524,50,M,10,1,745000
525,40,M,20,1,85000
526,23,F,20,1,94000
527,21,M,15,1,80000
528,41,F,20,1,127000
529,29,F,20,1,122000
530,49,M,10,1,781000
531,38,F,15,1,95000
532,34,M,20,1,986000
533,53,M,10,1,581000
534,55,F,15,1,977000
535,21,M,15,1,968000
536,38,M,15,1,52000
537,40,M,15,1,808000
538,24,M,10,1,528000
539,57,F,20,1,825000
540,59,F,20,1,613000
541,59,F,20,1,804000
542,38,F,10,1,38000
543,24,F,20,1,307000
544,50,M,10,1,584000
545,49,M,20,1,27000
546,23,F,10,1,712000
547,44,F,20,1,367000
548,52,F,15,1,405000
549,21,M,20,1,546000
550,26,F,20,1,680000
551,47,F,10,1,13000
552,24,F,15,1,794000
553,40,F,20,1,465000
554,31,M,10,1,508000
555,21,F,15,1,161000
556,36,F,15,1,724000
557,38,F,10,1,299000
558,39,F,15,1,171000
559,21,M,20,1,537000
560,37,M,15,1,972000
561,39,M,10,1,846000
562,21,M,20,1,444000
563,22,M,15,1,193000
564,43,M,15,1,780000
565,22,M,20,1,939000
566,49,F,15,1,767000
567,40,M,15,1,732000
568,59,M,10,1,893000
569,58,M,10,1,395000
570,42,M,20,1,878000
571,50,F,10,1,566000
572,57,M,20,1,33000
573,29,F,10,1,256000
574,58,M,10,1,740000
575,50,M,20,1,113000
576,28,M,15,1,539000
577,22,F,10,1,511000
578,22,F,10,1,231000
579,57,F,15,1,278000
580,26,M,20,1,28000
581,20,M,10,1,299000
582,49,M,15,1,651000
583,48,M,10,1,112000
584,30,F,15,1,553000
585,33,F,10,1,266000
586,24,M,15,1,869000
587,33,M,10,1,163000
588,57,M,10,1,512000
589,39,M,20,1,34000
590,47,M,10,1,871000
591,36,M,20,1,683000
592,58,M,20,1,384000
593,31,M,20,1,494000
594,33,F,15,1,326000
595,46,M,20,1,230000
596,27,M,15,1,914000
597,20,M,15,1,102000
598,25,F,15,1,341000
599,44,M,15,1,84000
600,57,M,10,1,623000
601,38,M,15,1,376000
602,26,M,15,1,195000
603,56,M,15,1,13000
604,52,M,15,1,460000
605,51,F,15,1,305000
606,28,F,10,1,356000
607,26,F,10,1,768000
608,54,F,20,1,309000
609,59,F,10,1,729000
610,22,M,15,1,329000
611,25,M,15,1,207000
612,35,F,10,1,668000
613,57,F,10,1,510000
614,36,M,10,1,991000
615,28,F,15,1,838000
616,59,F,20,1,149000
617,36,F,15,1,559000
618,55,M,10,1,870000
619,38,F,10,1,388000
620,35,M,10,1,825000
621,24,M,15,1,596000
622,36,F,15,1,871000
623,45,F,15,1,359000
624,48,F,15,1,575000
625,20,F,10,1,113000
626,45,F,10,1,172000
627,43,F,20,1,442000
628,55,F,20,1,864000
629,53,F,15,1,456000
630,47,M,20,1,824000
631,43,F,20,1,532000
632,40,F,20,1,348000
633,53,M,20,1,241000
634,56,F,20,1,814000
635,28,F,15,1,281000
636,33,M,15,1,34000
637,39,M,10,1,124000
638,34,M,15,1,133000
639,27,F,15,1,663000
640,34,F,15,1,261000
641,45,M,15,1,764000
642,39,M,10,1,619000
643,41,M,20,1,356000
644,21,M,15,1,201000
645,46,M,20,1,439000
646,38,F,20,1,55000
647,58,M,15,1,103000
648,32,F,15,1,776000
649,40,M,10,1,471000
650,29,M,15,1,87000
651,40,F,15,1,850000
652,29,F,20,1,95000
653,24,M,10,1,817000
654,51,M,15,1,784000
655,40,M,15,1,585000
656,35,F,15,1,131000
657,29,F,10,1,900000
658,59,M,15,1,671000
659,41,M,10,1,592000
660,36,M,10,1,688000
661,51,M,10,1,367000
662,47,F,15,1,386000
663,32,M,15,1,85000
664,32,M,10,1,506000
665,45,M,20,1,417000
666,53,F,20,1,509000
667,34,M,10,1,131000
668,28,M,15,1,127000
669,32,F,15,1,327000
670,31,F,15,1,190000
671,43,M,20,1,171000
672,31,F,10,1,348000
673,58,F,20,1,22000
674,25,M,20,1,610000
675,34,F,15,1,482000
676,50,F,15,1,432000
677,27,F,10,1,927000
678,37,F,15,1,143000
679,42,F,10,1,621000
680,25,F,15,1,439000
681,43,M,10,1,940000
682,41,M,20,1,920000
683,48,M,15,1,327000
684,39,F,10,1,911000
685,50,F,20,1,233000
686,40,M,10,1,732000
687,43,M,10,1,758000
688,48,F,20,1,985000
689,48,F,15,1,967000
690,22,F,10,1,601000
691,35,M,15,1,698000
692,39,M,20,1,40000
693,44,M,10,1,691000
694,22,F,10,1,713000
695,22,M,15,1,209000
696,59,M,15,1,58000
697,23,F,15,1,708000
698,46,F,10,1,468000
699,30,M,10,1,193000
700,26,M,15,1,328000
701,31,F,10,1,793000
702,56,M,15,1,118000
703,38,M,15,1,740000
704,26,F,20,1,555000
705,20,M,10,1,369000
706,34,F,10,1,615000
707,55,M,20,1,232000
708,21,M,20,1,913000
709,39,M,10,1,162000
710,34,F,15,1,406000
711,26,F,15,1,438000
712,49,F,15,1,290000
713,39,M,15,1,116000
714,24,M,15,1,720000
715,59,F,10,1,950000
716,51,M,10,1,460000
717,39,F,20,1,960000
718,37,F,10,1,557000
719,43,F,20,1,263000
720,52,M,20,1,813000
721,24,F,15,1,426000
722,26,F,10,1,779000
723,26,M,10,1,373000
724,56,F,10,1,610000
725,38,M,20,1,547000
726,49,M,15,1,176000
727,27,M,20,1,186000
728,21,F,20,1,867000
729,33,M,20,1,889000
730,39,M,10,1,619000
731,33,M,10,1,760000
732,22,F,20,1,77000
733,38,M,15,1,598000
734,48,M,15,1,633000
735,30,F,20,1,488000
736,34,M,10,1,446000
737,47,M,15,1,173000
738,50,F,10,1,218000
739,32,M,10,1,812000
740,55,F,20,1,779000
741,47,F,15,1,74000
742,27,F,10,1,419000
743,29,F,10,1,482000
744,52,F,20,1,460000
745,42,M,15,1,333000
746,35,M,10,1,15000
747,51,F,20,1,990000
748,35,M,20,1,905000
749,43,M,10,1,44000
750,46,F,10,1,394000
751,27,M,10,1,141000
752,58,M,20,1,514000
753,44,F,20,1,516000
754,47,F,10,1,119000
755,38,F,10,1,408000
756,28,F,15,1,794000
757,44,F,10,1,231000
758,20,F,10,1,226000
759,42,F,20,1,526000
760,24,M,10,1,264000
761,27,F,20,1,620000
762,31,F,20,1,155000
763,54,F,15,1,442000
764,22,M,15,1,370000
765,33,F,10,1,301000
766,22,F,20,1,979000
767,36,M,10,1,242000
768,57,M,20,1,106000
769,28,M,10,1,934000
770,26,F,15,1,281000
771,46,M,10,1,313000
772,33,F,20,1,789000
773,40,M,10,1,233000
774,58,F,10,1,688000
775,23,M,15,1,702000
776,41,F,10,1,653000
777,55,M,20,1,515000
778,47,M,15,1,208000
779,59,F,15,1,467000
780,31,F,15,1,652000
781,46,M,10,1,146000
782,46,F,15,1,570000
783,46,M,20,1,389000
784,26,F,10,1,94000
785,50,F,20,1,773000
786,33,F,10,1,148000
787,25,M,10,1,614000
788,56,F,20,1,552000
789,39,M,10,1,599000
790,49,M,15,1,607000
791,34,F,20,1,16000
792,38,M,15,1,469000
793,21,F,20,1,159000
794,38,F,20,1,372000
795,42,M,15,1,228000
796,49,M,10,1,995000
797,42,F,15,1,623000
798,35,M,15,1,31000
799,23,M,15,1,334000
800,37,M,20,1,689000
801,49,F,10,1,725000
802,42,M,20,1,670000
803,28,F,15,1,807000
804,42,M,20,1,561000
805,41,M,15,1,351000
806,38,M,15,1,165000
807,45,M,20,1,515000
808,44,F,10,1,279000
809,51,F,15,1,865000
810,25,M,15,1,832000
811,42,M,15,1,651000
812,49,F,20,1,515000
813,35,M,20,1,110000
814,26,F,10,1,366000
815,40,M,10,1,992000
816,52,M,20,1,599000
817,22,M,10,1,246000
818,42,F,10,1,32000
819,23,F,20,1,813000
820,57,F,10,1,608000
821,47,M,20,1,649000
822,36,M,10,1,566000
823,50,F,10,1,738000
824,46,M,15,1,821000
825,50,F,10,1,876000
826,22,F,10,1,892000
827,42,F,10,1,845000
828,32,F,10,1,847000
829,32,F,10,1,521000
830,26,M,15,1,406000
831,38,F,10,1,423000
832,46,M,10,1,885000
833,47,F,20,1,260000
834,24,M,15,1,199000
835,31,F,20,1,14000
836,39,F,10,1,237000
837,22,M,15,1,678000
838,30,M,20,1,498000
839,34,F,15,1,214000
840,26,F,20,1,802000
841,24,M,10,1,800000
842,52,F,15,1,314000
843,43,M,10,1,397000
844,29,F,20,1,218000
845,39,F,15,1,931000
846,23,M,10,1,517000
847,48,M,20,1,888000
848,35,F,10,1,260000
849,37,F,10,1,968000
850,28,M,20,1,736000
851,46,M,20,1,49000
852,48,F,20,1,806000
853,43,M,15,1,729000
854,44,M,10,1,760000
855,52,F,10,1,425000
856,57,M,15,1,725000
857,30,M,20,1,130000
858,54,F,15,1,46000
859,25,M,20,1,749000
860,32,M,15,1,504000
861,48,M,15,1,876000
862,54,M,20,1,157000
863,47,M,15,1,574000
864,30,F,15,1,179000
865,37,M,15,1,413000
866,54,F,15,1,591000
867,33,M,10,1,503000
868,25,M,20,1,645000
869,48,M,15,1,516000
870,57,M,15,1,11000
871,57,M,10,1,101000
872,42,F,20,1,194000
873,36,F,20,1,590000
874,38,M,20,1,338000
875,22,M,20,1,627000
876,36,F,15,1,132000
877,32,M,10,1,549000
878,35,M,10,1,806000
879,53,M,20,1,751000
880,26,M,15,1,616000
881,51,M,20,1,425000
882,45,M,10,1,748000
883,56,F,15,1,961000
884,34,F,15,1,489000
885,32,F,10,1,524000
886,55,F,15,1,410000
887,25,F,20,1,363000
888,24,M,10,1,721000
889,50,M,10,1,743000
890,38,F,20,1,167000
891,37,F,20,1,297000
892,43,F,10,1,17000
893,48,F,15,1,443000
894,49,M,20,1,96000
895,33,M,15,1,183000
896,46,F,20,1,895000
897,29,M,10,1,990000
898,37,M,20,1,597000
899,30,M,10,1,541000
900,49,M,20,1,495000
901,20,F,15,1,162000
902,48,M,15,1,381000
903,50,F,10,1,828000
904,35,F,20,1,511000
905,22,F,20,1,591000
906,37,M,15,1,810000
907,53,M,15,1,779000
908,34,F,10,1,628000
909,41,F,15,1,731000
910,51,M,15,1,328000
911,59,F,10,1,817000
912,25,F,15,1,356000
913,23,M,15,1,624000
914,52,F,20,1,758000
915,53,F,15,1,483000
916,43,M,15,1,105000
917,29,M,10,1,574000
918,34,F,15,1,343000
919,42,F,15,1,723000
920,57,F,20,1,676000
921,21,M,20,1,782000
922,58,F,15,1,770000
923,51,F,10,1,878000
924,58,F,10,1,555000
925,35,M,15,1,309000
926,24,M,15,1,497000
927,53,M,15,1,376000
928,39,M,10,1,853000
929,37,F,15,1,68000
930,56,M,10,1,672000
931,44,F,10,1,54000
932,20,F,15,1,141000
933,51,M,10,1,637000
934,31,F,20,1,994000
935,40,M,20,1,192000
936,38,F,15,1,91000
937,28,M,20,1,90000
938,31,M,20,1,245000
939,39,M,15,1,485000
940,42,M,15,1,451000
941,50,M,20,1,992000
942,41,M,10,1,780000
943,49,M,15,1,917000
944,53,F,20,1,989000
945,29,M,15,1,370000
946,29,F,20,1,976000
947,22,M,15,1,516000
948,50,F,10,1,981000
949,23,F,10,1,946000
950,39,M,20,1,556000
951,59,M,10,1,630000
952,58,F,15,1,162000
953,49,M,15,1,151000
954,54,M,20,1,635000
955,41,F,15,1,269000
956,20,M,15,1,463000
957,26,M,20,1,502000
958,35,F,15,1,179000
959,39,F,10,1,789000
960,30,M,15,1,560000
961,50,F,10,1,257000
962,39,M,20,1,346000
963,46,M,15,1,410000
964,59,F,10,1,114000
965,43,F,15,1,647000
966,43,F,20,1,478000
967,38,F,15,1,677000
968,22,M,15,1,364000
969,21,M,15,1,598000
970,49,M,20,1,845000
971,39,F,15,1,271000
972,28,F,10,1,13000
973,33,M,20,1,636000
974,38,M,20,1,798000
975,31,F,20,1,963000
976,45,M,10,1,753000
977,58,M,20,1,471000
978,56,M,10,1,511000
979,32,F,10,1,682000
980,33,F,20,1,480000
981,59,F,10,1,466000
982,46,F,20,1,656000
983,23,M,15,1,156000
984,21,M,15,1,260000
985,39,F,20,1,685000
986,22,M,10,1,268000
987,49,M,20,1,397000
988,37,M,15,1,929000
989,22,F,15,1,535000
990,43,M,10,1,19000
991,31,M,15,1,470000
992,31,F,20,1,735000
993,52,F,15,1,385000
994,49,F,10,1,871000
995,41,F,15,1,433000
996,32,F,20,1,854000
997,51,M,20,1,733000
998,30,M,10,1,729000
999,55,M,20,1,100000
1000,47,M,20,1,936000
1001,43,M,20,1,923000
1002,48,M,20,1,676000
1003,56,M,20,1,859000
1004,59,M,10,1,558000
1005,42,M,20,1,40000
1006,25,M,15,1,307000
1007,48,F,20,1,257000
1008,23,F,15,1,786000
1009,42,M,15,1,337000
1010,53,F,20,1,581000
1011,57,F,10,1,348000
1012,31,F,20,1,282000
1013,48,M,10,1,278000
1014,56,F,10,1,325000
1015,35,M,20,1,794000
1016,42,F,15,1,582000
1017,57,F,20,1,661000
1018,44,F,15,1,819000
1019,33,M,15,1,37000
1020,20,M,20,1,911000
1021,21,F,10,1,802000
1022,42,M,10,1,681000
1023,22,F,15,1,791000
1024,54,F,20,1,818000
1025,25,F,15,1,727000
1026,59,F,20,1,904000
1027,48,F,10,1,895000
1028,35,F,10,1,950000
1029,38,F,20,1,631000
1030,26,M,15,1,943000
1031,26,M,15,1,779000
1032,56,M,15,1,523000
1033,20,F,10,1,745000
1034,36,F,10,1,546000
1035,44,M,20,1,804000
1036,38,F,20,1,627000
1037,57,M,15,1,726000
1038,38,M,20,1,529000
1039,47,M,20,1,847000
1040,41,F,15,1,105000
1041,49,F,15,1,589000
1042,22,F,15,1,963000
1043,54,M,10,1,986000
1044,20,M,20,1,672000
1045,29,M,15,1,123000
1046,50,M,20,1,644000
1047,36,F,10,1,397000
1048,45,M,15,1,196000
1049,42,F,15,1,186000
1050,35,F,10,1,345000
1051,49,F,10,1,363000
1052,46,F,15,1,320000
1053,23,M,10,1,620000
1054,48,M,20,1,529000
1055,27,M,20,1,757000
1056,31,M,15,1,70000
1057,59,F,20,1,405000
1058,35,F,20,1,934000
1059,40,M,15,1,828000
1060,29,F,10,1,498000
1061,42,M,15,1,794000
1062,25,F,10,1,711000
1063,23,F,15,1,65000
1064,43,F,20,1,652000
1065,37,M,10,1,328000
1066,49,M,10,1,467000
1067,25,F,20,1,285000
